regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи проведением публичного обсуждения проекта акта
57557;[o_19_2_2]
57562;[o_19_2_1]
57562;[o_19_2_2]
57563;[o_13_2_1]
57563;[o_13_2_2]
57566;[o_19_2_1]
57566;[o_19_2_2]
58570;[o_13_2_1]
58570;[o_13_2_2]
58599;[o_ | 20 | _2_1]
58599;[o_ | 20 | _2_2]
58620;[o_13_2_1]
58620;[o_13_2_2]
58624;02.12.2016
58624;09 | .02.2017
58638;[o_13_2_1]
58638;[o_13_2_2]
58640;[o_19_2_1]
58640;[o_19_2_2]
58652;[o_13_2_1]
58652;[o_13_2_2]
58653;[o_13_2_1]
58653;[o_13_2_2]
58655;[o_13_2_1]
58655;[o_13_2_2]
58656;[o_13_2_1]
58656;[o_13_2_2]
58667;[o_19_2_1]
58667;[o_19_2_2]
58676;[o_ | 20 | _2_1]
58676;[o_ | 20 | _2_2]
58682;[o_ | 20 | _2_1]
58682;[o_ | 20 | _2_2]
58711;[o_ | 20 | _2_1]
58711;[o_ | 20 | _2_2]
58757;[o_19_2_1]
58757;[o_19_2_2]
58760;[o_13_2_1]
58760;[o_13_2_2]
58775;[o_19_2_1]
58775;[o_19_2_2]
58805;[o_ | 20 | _2_1]
58805;[o_ | 20 | _2_2]
58816;[o_13_2_1]
58816;[o_13_2_2]
58821;[o_13_2_1]
58821;[o_13_2_2]
58823;[o_13_2_1]
58823;[o_13_2_2]
58825;[o_19_2_1]
58825;[o_19_2_2]
58830;[o_ | 20 | _2_1]
58830;[o_ | 20 | _2_2]
58845;[o_19_2_1]
58845;[o_19_2_2]
58852;[o_19_2_1]
58852;[o_19_2_2]
58853;[o_19_2_1]
58853;[o_19_2_2]
58901;февраль 2016 г.
58901;март 2016 г.
58943;[o_19_2_1]
58943;[o_19_2_2]
58945;[o_19_2_1]
58945;[o_19_2_2]
58948;[o_19_2_1]
58948;[o_19_2_2]
58953;[o_ | 20 | _2_1]
58953;[o_ | 20 | _2_2]
58976;[o_19_2_1]
58976;[o_19_2_2]
59012;[o_13_2_1]
59012;[o_13_2_2]
59023;[o_13_2_1]
59023;[o_13_2_2]
59029;[o_13_2_1]
59029;[o_13_2_2]
59039;[o_19_2_1]
59039;[o_19_2_2]
59042;[o_19_2_1]
59042;[o_19_2_2]
59044;[o_13_2_1]
59044;[o_13_2_2]
59047;[o_19_2_1]
59047;[o_19_2_2]
59048; 
59048; 
59055;[o_19_2_1]
59055;[o_19_2_2]
59059;[o_19_2_1]
59059;[o_19_2_2]
59063;[o_19_2_1]
59063;[o_19_2_2]
59074;[o_19_2_1]
59074;[o_19_2_2]
59098;[o_19_2_1]
59098;[o_19_2_2]
59099;[o_13_2_1]
59099;[o_13_2_2]
59105;[o_13_2_1]
59105;[o_13_2_2]
59113;[o_19_2_1]
59113;[o_19_2_2]
59123;-
59123;-
59125;[o_ | 20 | _2_1]
59125;[o_ | 20 | _2_2]
59142;[o_13_2_1]
59142;[o_13_2_2]
59161;[o_19_2_1]
59161;[o_19_2_2]
59173;[o_19_2_1]
59173;[o_19_2_2]
59193;[o_19_2_1]
59193;[o_19_2_2]
59198;ххх
59198;х
59201;[o_19_2_1]
59201;[o_19_2_2]
59206;[o_13_2_1]
59206;[o_13_2_2]
59208;[o_19_2_1]
59208;[o_19_2_2]
59212;[o_19_2_1]
59212;[o_19_2_2]
59216;[o_19_2_1]
59216;[o_19_2_2]
59234;[o_19_2_1]
59234;[o_19_2_2]
59244;[o_ | 20 | _2_1]
59244;[o_ | 20 | _2_2]
59297;[o_13_2_1]
59297;[o_13_2_2]
59300;[o_13_2_1]
59300;[o_13_2_2]
59301;[o_13_2_1]
59301;[o_13_2_2]
59306;[o_13_2_1]
59306;[o_13_2_2]
59309;[o_13_2_1]
59309;[o_13_2_2]
59312;[o_ | 20 | _2_1]
59312;[o_ | 20 | _2_2]
59315;[o_13_2_1]
59315;[o_13_2_2]
59319;[o_19_2_1]
59319;[o_19_2_2]
59320;[o_13_2_1]
59320;[o_13_2_2]
59322;[o_19_2_1]
59322;[o_19_2_2]
59330;[o_19_2_1]
59330;[o_19_2_2]
59334;17 февраля 2017 г.
59334;2 марта 2017 г.
59354;[o_13_2_1]
59354;[o_13_2_2]
59355;[o_19_2_1]
59355;[o_19_2_2]
59357;03 мая 2017 г.
59357;23 мая 2017 г.
59358;[o_19_2_1]
59358;[o_19_2_2]
59359;[o_19_2_1]
59359;[o_19_2_2]
59367;[o_19_2_1]
59367;[o_19_2_2]
59378;[o_19_2_1]
59378;[o_19_2_2]
59386;[o_13_2_1]
59386;[o_13_2_2]
59395;[o_13_2_1]
59395;[o_13_2_2]
59400;[o_13_2_1]
59400;[o_13_2_2]
59442;[o_13_2_1]
59442;[o_13_2_2]
59474;[o_13_2_1]
59474;[o_13_2_2]
59475;[o_13_2_1]
59475;[o_13_2_2]
59482;[o_13_2_1]
59482;[o_13_2_2]
59496;[o_13_2_1]
59496;[o_13_2_2]
59505;[o_13_2_1]
59505;[o_13_2_2]
59543;[o_13_2_1]
59543;[o_13_2_2]
59554;[o_19_2_1]
59554;[o_19_2_2]
59578;[o_13_2_1]
59578;[o_13_2_2]
59590;[o_19_2_1]
59590;[o_19_2_2]
59593;[o_13_2_1]
59593;[o_13_2_2]
59605;[o_13_2_1]
59605;[o_13_2_2]
59617;[o_13_2_1]
59617;[o_13_2_2]
59623;[o_19_2_1]
59623;[o_19_2_2]
59625;29.11.2016
59625;12.12.2016
59640;[o_19_2_1]
59640;[o_19_2_2]
59666;[o_13_2_1]
59666;[o_13_2_2]
59667;[o_19_2_1]
59667;[o_19_2_2]
59668;[o_19_2_1]
59668;[o_19_2_2]
59694;[o_19_2_1]
59694;[o_19_2_2]
59719;[o_19_2_1]
59719;[o_19_2_2]
59727;[o_19_2_1]
59727;[o_19_2_2]
59747;12.01.2017
59747;02.02.2017
59757;15 декабря 2016
59757;[o_13_2_2]
59775;[o_ | 20 | _2_1]
59775;[o_ | 20 | _2_2]
59783;[o_ | 20 | _2_1]
59783;[o_ | 20 | _2_2]
59786;-
59786;-
59787;[o_19_2_1]
59787;[o_19_2_2]
59788;[o_19_2_1]
59788;[o_19_2_2]
59795;[o_13_2_1]
59795;[o_13_2_2]
59826;[o_ | 20 | _2_1]
59826;[o_ | 20 | _2_2]
59828;[o_19_2_1]
59828;[o_19_2_2]
59840;[o_ | 20 | _2_1]
59840;[o_ | 20 | _2_2]
59841;[o_ | 20 | _2_1]
59841;[o_ | 20 | _2_2]
59843;[o_ | 20 | _2_1]
59843;[o_ | 20 | _2_2]
59855; 
59855; 
59857;[o_13_2_1]
59857;[o_13_2_2]
59858;[o_13_2_1]
59858;[o_13_2_2]
59865;[o_19_2_1]
59865;[o_19_2_2]
59867;[o_13_2_1]
59867;[o_13_2_2]
59869;[o_13_2_1]
59869;[o_13_2_2]
59925;6 декабря 2016 г.
59925;9 января 2017 г.
59958;[o_19_2_1]
59958;[o_19_2_2]
59964;[o_13_2_1]
59964;[o_13_2_2]
60012;[o_19_2_1]
60012;[o_19_2_2]
60014;[o_13_2_1]
60014;[o_13_2_2]
60015;[o_19_2_1]
60015;[o_19_2_2]
60031;[o_19_2_1]
60031;[o_19_2_2]
60032;[o_19_2_1]
60032;[o_19_2_2]
60042;[o_19_2_1]
60042;[o_19_2_2]
60066;[o_ | 20 | _2_1]
60066;[o_ | 20 | _2_2]
60068;[o_13_2_1]
60068;[o_13_2_2]
60073; 
60073; 
60093;[o_13_2_1]
60093;[o_13_2_2]
60099;[o_19_2_1]
60099;[o_19_2_2]
60101;[o_19_2_1]
60101;[o_19_2_2]
60109;[o_ | 20 | _2_1]
60109;[o_ | 20 | _2_2]
60125;[o_19_2_1]
60125;[o_19_2_2]
60129;[o_19_2_1]
60129;[o_19_2_2]
60144;[o_13_2_1]
60144;[o_13_2_2]
60152;28 декабрь 2016 г.
60152;31 январь 2017 г.
60155;[o_19_2_1]
60155;[o_19_2_2]
60160;12.12.2016
60160;23.12.2016
60166;[o_13_2_1]
60166;[o_13_2_2]
60168;"30.12.2016; 03.03.2017; 31.05.2017"
60168;"07.02.2017; 17.03.2017; 14.06.2017"
60177;[o_19_2_1]
60177;[o_19_2_2]
60187;[o_19_2_1]
60187;[o_19_2_2]
60195;13 декабря 2016 г.
60195;26 декабря 2016 г. 
60208;[o_13_2_1]
60208;[o_13_2_2]
60215;[o_13_2_1]
60215;[o_13_2_2]
60246;-
60246;-
60260;[o_19_2_1]
60260;[o_19_2_2]
60264;[o_13_2_1]
60264;[o_13_2_2]
60267;[o_19_2_1]
60267;[o_19_2_2]
60296;[o_19_2_1]
60296;[o_19_2_2]
60304;-
60304;-
60335;[o_19_2_1]
60335;[o_19_2_2]
60357;февраль 2017 г.
60357;март 2017 г.
60359;[o_ | 20 | _2_1]
60359;[o_ | 20 | _2_2]
60366;30.12.2016
60366;02.02.2017
60402;[o_ | 20 | _2_1]
60402;[o_ | 20 | _2_2]
60405;[o_19_2_1]
60405;[o_19_2_2]
60408;[o_19_2_1]
60408;[o_19_2_2]
60412;[o_13_2_1]
60412;[o_13_2_2]
60416;[o_19_2_1]
60416;[o_19_2_2]
60426;[o_13_2_1]
60426;[o_13_2_2]
60431;[o_ | 20 | _2_1]
60431;[o_ | 20 | _2_2]
60433;январь 2017 г.
60433;январь 2017 г.
60444;[o_19_2_1]
60444;[o_19_2_2]
60448;[o_ | 20 | _2_1]
60448;[o_ | 20 | _2_2]
60465;[o_ | 20 | _2_1]
60465;[o_ | 20 | _2_2]
60476;[o_19_2_1]
60476;[o_19_2_2]
60492;21.12.2016 
60492;17.01.2017
60507;[o_13_2_1]
60507;[o_13_2_2]
60519;[o_13_2_1]
60519;[o_13_2_2]
60524;16.01.2017
60524;27.01.2017
60527;[o_19_2_1]
60527;[o_19_2_2]
60544;[o_19_2_1]
60544;[o_19_2_2]
60566;[o_19_2_1]
60566;[o_19_2_2]
60567;[o_13_2_1]
60567;[o_13_2_2]
60575;[o_19_2_1]
60575;[o_19_2_2]
60592;[o_19_2_1]
60592;[o_19_2_2]
60595;[o_13_2_1]
60595;[o_13_2_2]
60598;[o_ | 20 | _2_1]
60598;[o_ | 20 | _2_2]
60603;[o_13_2_1]
60603;[o_13_2_2]
60618;[o_ | 20 | _2_1]
60618;[o_ | 20 | _2_2]
60627;[o_19_2_1]
60627;[o_19_2_2]
60628;[o_19_2_1]
60628;[o_19_2_2]
60638;[o_19_2_1]
60638;[o_19_2_2]
60649;09.01.2017
60649;20.01.2017
60655;[o_19_2_1]
60655;[o_19_2_2]
60685;[o_13_2_1]
60685;[o_13_2_2]
60693;[o_19_2_1]
60693;[o_19_2_2]
60698;[o_19_2_1]
60698;[o_19_2_2]
60702;[o_19_2_1]
60702;[o_19_2_2]
60713;[o_19_2_1]
60713;[o_19_2_2]
60718;[o_13_2_1]
60718;[o_13_2_2]
60723;[o_19_2_1]
60723;[o_19_2_2]
60733;27.12.2016
60733;31.01.2017
60739;20.01.2017
60739;09.02.2017
60744;[o_19_2_1]
60744;[o_19_2_2]
60758;[o_19_2_1]
60758;[o_19_2_2]
60767;[o_13_2_1]
60767;[o_13_2_2]
60774;[o_19_2_1]
60774;[o_19_2_2]
60777;[o_19_2_1]
60777;[o_19_2_2]
60783;[o_ | 20 | _2_1]
60783;[o_ | 20 | _2_2]
60784;[o_19_2_1]
60784;[o_19_2_2]
60787;[o_19_2_1]
60787;[o_19_2_2]
60789;[o_19_2_1]
60789;[o_19_2_2]
60807;[o_19_2_1]
60807;[o_19_2_2]
60816;[o_19_2_1]
60816;[o_19_2_2]
60819;[o_ | 20 | _2_1]
60819;[o_ | 20 | _2_2]
60829;[o_19_2_1]
60829;[o_19_2_2]
60835;[o_19_2_1]
60835;[o_19_2_2]
60841;11.04.2017
60841;01.05.2017
60842;[o_19_2_1]
60842;[o_19_2_2]
60843;[o_19_2_1]
60843;[o_19_2_2]
60852;[o_19_2_1]
60852;[o_19_2_2]
60861;[o_ | 20 | _2_1]
60861;[o_ | 20 | _2_2]
60891;[o_19_2_1]
60891;[o_19_2_2]
60897;[o_19_2_1]
60897;[o_19_2_2]
60901;[o_19_2_1]
60901;[o_19_2_2]
60905;[o_13_2_1]
60905;[o_13_2_2]
60924;[o_19_2_1]
60924;[o_19_2_2]
60943;[o_19_2_1]
60943;[o_19_2_2]
60961;[o_13_2_1]
60961;[o_13_2_2]
60967;[o_19_2_1]
60967;[o_19_2_2]
60975;[o_19_2_1]
60975;[o_19_2_2]
60991;[o_13_2_1]
60991;[o_13_2_2]
60998; 
60998; 
61005;[o_19_2_1]
61005;[o_19_2_2]
61009;[o_ | 20 | _2_1]
61009;[o_ | 20 | _2_2]
61014;[o_13_2_1]
61014;[o_13_2_2]
61021;[o_19_2_1]
61021;[o_19_2_2]
61026;[o_19_2_1]
61026;[o_19_2_2]
61027;[o_19_2_1]
61027;[o_19_2_2]
61048;[o_19_2_1]
61048;[o_19_2_2]
61053;[o_19_2_1]
61053;[o_19_2_2]
61062;[o_13_2_1]
61062;[o_13_2_2]
61078;[o_13_2_1]
61078;[o_13_2_2]
61080;02.12.2016
61080;15.12.2016
61085;[o_13_2_1]
61085;[o_13_2_2]
61087;[o_19_2_1]
61087;[o_19_2_2]
61107;[o_19_2_1]
61107;[o_19_2_2]
61108;[o_13_2_1]
61108;[o_13_2_2]
61112;[o_19_2_1]
61112;[o_19_2_2]
61123;[o_19_2_1]
61123;[o_19_2_2]
61130;февраль 2017 г.
61130;март 2017 г.
61132;[o_19_2_1]
61132;[o_19_2_2]
61135;[o_19_2_1]
61135;[o_19_2_2]
61144;[o_19_2_1]
61144;[o_19_2_2]
61147;[o_19_2_1]
61147;[o_19_2_2]
61149;31.01.2017г.
61149;13.02.2017г.
61155;[o_ | 20 | _2_1]
61155;[o_ | 20 | _2_2]
61164;[o_19_2_1]
61164;[o_19_2_2]
61167;[o_13_2_1]
61167;[o_13_2_2]
61169;[o_19_2_1]
61169;[o_19_2_2]
61177;17/01/2017
61177;30/01/2017
61189;[o_19_2_1]
61189;[o_19_2_2]
61201;[o_19_2_1]
61201;[o_19_2_2]
61209;01.02.2017
61209;02.03.2017
61244;[o_19_2_1]
61244;[o_19_2_2]
61269;2017
61269;2017
61284;[o_ | 20 | _2_1]
61284;[o_ | 20 | _2_2]
61285;[o_ | 20 | _2_1]
61285;[o_ | 20 | _2_2]
61287;[o_19_2_1]
61287;[o_19_2_2]
61291;[o_19_2_1]
61291;[o_19_2_2]
61302;-
61302;-
61309;[o_13_2_1]
61309;[o_13_2_2]
61311;[o_ | 20 | _2_1]
61311;[o_ | 20 | _2_2]
61312;[o_13_2_1]
61312;[o_13_2_2]
61314;[o_13_2_1]
61314;[o_13_2_2]
61343;[o_13_2_1]
61343;[o_13_2_2]
61348;[o_ | 20 | _2_1]
61348;[o_ | 20 | _2_2]
61350;[o_ | 20 | _2_1]
61350;[o_ | 20 | _2_2]
61358;[o_19_2_1]
61358;[o_19_2_2]
61377;[o_ | 20 | _2_1]
61377;[o_ | 20 | _2_2]
61381;23.05.2017
61381;21.06.2017
61386;[o_19_2_1]
61386;[o_19_2_2]
61389;-
61389;-
61392;[o_13_2_1]
61392;[o_13_2_2]
61412;[o_19_2_1]
61412;[o_19_2_2]
61427;10 апреля 2017 г.
61427;21 апреля 2017 г.
61447;03.03.2017
61447;31.03.2017
61454;[o_19_2_1]
61454;[o_19_2_2]
61457;-
61457;-
61458;25.04.2017
61458;24.05.2017
61459;[o_19_2_1]
61459;[o_19_2_2]
61467;[o_19_2_1]
61467;[o_19_2_2]
61468;[o_19_2_1]
61468;[o_19_2_2]
61470;[o_19_2_1]
61470;[o_19_2_2]
61475;[o_19_2_1]
61475;[o_19_2_2]
61478;[o_13_2_1]
61478;[o_13_2_2]
61482;[o_13_2_1]
61482;[o_13_2_2]
61488;[o_13_2_1]
61488;[o_13_2_2]
61491;[o_13_2_1]
61491;[o_13_2_2]
61493;[o_13_2_1]
61493;[o_13_2_2]
61539;[o_19_2_1]
61539;[o_19_2_2]
61556;[o_19_2_1]
61556;[o_19_2_2]
61616;[o_19_2_1]
61616;[o_19_2_2]
61620;-
61620;-
61622;[o_ | 20 | _2_1]
61622;[o_ | 20 | _2_2]
61623;[o_19_2_1]
61623;[o_19_2_2]
61635;[o_ | 20 | _2_1]
61635;[o_ | 20 | _2_2]
61644;[o_13_2_1]
61644;[o_13_2_2]
61653;[o_13_2_1]
61653;[o_13_2_2]
61663;[o_19_2_1]
61663;[o_19_2_2]
61664;-
61664;-
61671;[o_19_2_1]
61671;[o_19_2_2]
61679;[o_ | 20 | _2_1]
61679;[o_ | 20 | _2_2]
61680;16 марта 2017 года
61680;31 марта 2017 года
61686;[o_19_2_1]
61686;[o_19_2_2]
61694;первично размещался на общественное обсуждение 16.02.2017
61694;первично размещался на общественное обсуждение 03.03.2017
61696;[o_19_2_1]
61696;[o_19_2_2]
61714;[o_19_2_1]
61714;[o_19_2_2]
61715;[o_19_2_1]
61715;[o_19_2_2]
61716;-
61716;-
61718;20.02.2017
61718;06.03.2017
61720;20.02.2017
61720;06.03.2017
61747;[o_19_2_1]
61747;[o_19_2_2]
61749;17 февраля 2017 г.
61749;2 марта 2017 г.
61768;[o_13_2_1]
61768;[o_13_2_2]
61776;[o_13_2_1]
61776;[o_13_2_2]
61778;[o_13_2_1]
61778;[o_13_2_2]
61786;[o_19_2_1]
61786;[o_19_2_2]
61789;-
61789;-
61793;[o_19_2_1]
61793;[o_19_2_2]
61802;[o_19_2_1]
61802;[o_19_2_2]
61822;[o_19_2_1]
61822;[o_19_2_2]
61835;[o_19_2_1]
61835;[o_19_2_2]
61846;[o_ | 20 | _2_1]
61846;[o_ | 20 | _2_2]
61870;[o_13_2_1]
61870;[o_13_2_2]
61876;[o_19_2_1]
61876;[o_19_2_2]
61890;[o_ | 20 | _2_1]
61890;[o_ | 20 | _2_2]
61918;[o_19_2_1]
61918;[o_19_2_2]
61920;[o_19_2_1]
61920;[o_19_2_2]
61927;[o_19_2_1]
61927;[o_19_2_2]
61938;-
61938;-
61944;[o_ | 20 | _2_1]
61944;[o_ | 20 | _2_2]
61945;[o_19_2_1]
61945;[o_19_2_2]
61955;[o_19_2_1]
61955;[o_19_2_2]
61956;[o_19_2_1]
61956;[o_19_2_2]
61978;[o_19_2_1]
61978;[o_19_2_2]
61980;-
61980;-
61983;1 марта 2017 г.
61983;29 марта 2017 г.
61984;22.02.2017
61984;10.03.2017
61986;27.02.2017
61986;13.03.2017
61988;[o_ | 20 | _2_1]
61988;[o_ | 20 | _2_2]
61999;[o_19_2_1]
61999;[o_19_2_2]
62000;[o_ | 20 | _2_1]
62000;[o_ | 20 | _2_2]
62179;[o_13_2_1]
62179;[o_13_2_2]
62185;[o_19_2_1]
62185;[o_19_2_2]
62189;[o_19_2_1]
62189;[o_19_2_2]
62190;[o_13_2_1]
62190;[o_13_2_2]
62191;13.02.2017
62191;07.03.2017
62197;[o_19_2_1]
62197;[o_19_2_2]
62203;[o_13_2_1]
62203;[o_13_2_2]
62208;[o_ | 20 | _2_1]
62208;[o_ | 20 | _2_2]
62214;[o_ | 20 | _2_1]
62214;[o_ | 20 | _2_2]
62223;[o_19_2_1]
62223;[o_19_2_2]
62227;[o_19_2_1]
62227;[o_19_2_2]
62230;-
62230;-
62246;[o_19_2_1]
62246;[o_19_2_2]
62253;[o_19_2_1]
62253;[o_19_2_2]
62255;[o_19_2_1]
62255;[o_19_2_2]
62258;[o_13_2_1]
62258;[o_13_2_2]
62263;-
62263;-
62315;23.03.2017
62315;6.04.2017
62320;[o_19_2_1]
62320;[o_19_2_2]
62349;[o_13_2_1]
62349;[o_13_2_2]
62352;[o_ | 20 | _2_1]
62352;[o_ | 20 | _2_2]
62380;[o_13_2_1]
62380;[o_13_2_2]
62387;-
62387;-
62388;20.02.2017
62388;15.03.2017
62399;[o_19_2_1]
62399;[o_19_2_2]
62402;[o_19_2_1]
62402;[o_19_2_2]
62404;[o_19_2_1]
62404;[o_19_2_2]
62419;[o_13_2_1]
62419;[o_13_2_2]
62439;[o_13_2_1]
62439;[o_13_2_2]
62440;[o_19_2_1]
62440;[o_19_2_2]
62463;[o_13_2_1]
62463;[o_13_2_2]
62465;[o_19_2_1]
62465;[o_19_2_2]
62468;[o_19_2_1]
62468;[o_19_2_2]
62470;[o_19_2_1]
62470;[o_19_2_2]
62477;[o_ | 20 | _2_1]
62477;[o_ | 20 | _2_2]
62480;[o_19_2_1]
62480;[o_19_2_2]
62482;13.03.2017
62482;17.05.2017
62509;[o_ | 20 | _2_1]
62509;[o_ | 20 | _2_2]
62515;[o_ | 20 | _2_1]
62515;[o_ | 20 | _2_2]
62518;[o_ | 20 | _2_1]
62518;[o_ | 20 | _2_2]
62519;[o_13_2_1]
62519;[o_13_2_2]
62562;[o_19_2_1]
62562;[o_19_2_2]
62590;[o_13_2_1]
62590;[o_13_2_2]
62592;[o_19_2_1]
62592;[o_19_2_2]
62605;[o_19_2_1]
62605;[o_19_2_2]
62611;01/03/2017
62611;29/03/2017
62620;-
62620;-
62635;[o_19_2_1]
62635;[o_19_2_2]
62638;[o_19_2_1]
62638;[o_19_2_2]
62646;[o_13_2_1]
62646;[o_13_2_2]
62648;[o_19_2_1]
62648;[o_19_2_2]
62650;[o_19_2_1]
62650;[o_19_2_2]
62651;[o_19_2_1]
62651;[o_19_2_2]
62653;03.04.2017
62653;02.05.2017
62658;[o_19_2_1]
62658;[o_19_2_2]
62668;-
62668;-
62674;[o_19_2_1]
62674;[o_19_2_2]
62677;[o_19_2_1]
62677;[o_19_2_2]
62681;нет
62681;нет
62695;[o_ | 20 | _2_1]
62695;[o_ | 20 | _2_2]
62701;[o_19_2_1]
62701;[o_19_2_2]
62709;[o_19_2_1]
62709;[o_19_2_2]
62730; 
62730;[o_19_2_2]
62738;[o_19_2_1]
62738;[o_19_2_2]
62755;[o_ | 20 | _2_1]
62755;[o_ | 20 | _2_2]
62756;[o_19_2_1]
62756;[o_19_2_2]
62762;[o_19_2_1]
62762;[o_19_2_2]
62783;[o_19_2_1]
62783;[o_19_2_2]
62802;[o_19_2_1]
62802;[o_19_2_2]
62807;[o_13_2_1]
62807;[o_13_2_2]
62809;-
62809;-
62825;[o_19_2_1]
62825;[o_19_2_2]
62833;24.03.2017
62833;21.04.2017
62843;28 ноября 2017 г.
62843;5 декабря 2017 г.
62854;[o_19_2_1]
62854;[o_19_2_2]
62861;[o_19_2_1]
62861;[o_19_2_2]
62880;[o_ | 20 | _2_1]
62880;[o_ | 20 | _2_2]
62882;[o_19_2_1]
62882;[o_19_2_2]
62884;[o_13_2_1]
62884;[o_13_2_2]
62885;[o_19_2_1]
62885;[o_19_2_2]
62911;[o_19_2_1]
62911;[o_19_2_2]
62936;[o_19_2_1]
62936;[o_19_2_2]
62955;[o_19_2_1]
62955;[o_19_2_2]
62979;"28.04.2018


"
62979;"16.05.2018
"
62982;[o_ | 20 | _2_1]
62982;[o_ | 20 | _2_2]
62984;[o_13_2_1]
62984;[o_13_2_2]
62985;[o_13_2_1]
62985;[o_13_2_2]
62994;15.03.2017
62994;28.03.2017
63003;[o_13_2_1]
63003;[o_13_2_2]
63004;[o_19_2_1]
63004;[o_19_2_2]
63029;[o_19_2_1]
63029;[o_19_2_2]
63034;[o_ | 20 | _2_1]
63034;[o_ | 20 | _2_2]
63060;[o_19_2_1]
63060;[o_19_2_2]
63076;04.04.2017
63076;08.06.2017
63088;[o_19_2_1]
63088;[o_19_2_2]
63110;[o_19_2_1]
63110;[o_19_2_2]
63128;20.03.2017
63128;07.04.2017
63139;[o_19_2_1]
63139;[o_19_2_2]
63150; 
63150; 
63154;21 октября 2016 г
63154;4 ноября 2016 г.
63155;[o_19_2_1]
63155;[o_19_2_2]
63159;[o_19_2_1]
63159;[o_19_2_2]
63185;[o_19_2_1]
63185;[o_19_2_2]
63190;[o_19_2_1]
63190;[o_19_2_2]
63192;21 октября 2016 г
63192;4 ноября 2016 г.
63201;[o_19_2_1]
63201;[o_19_2_2]
63202;[o_ | 20 | _2_1]
63202;[o_ | 20 | _2_2]
63229;[o_13_2_1]
63229;[o_13_2_2]
63235;10.04.2017
63235;10.05.2017
63238;[o_19_2_1]
63238;[o_19_2_2]
63244;[o_ | 20 | _2_1]
63244;[o_ | 20 | _2_2]
63255;[o_19_2_1]
63255;[o_19_2_2]
63261;[o_ | 20 | _2_1]
63261;[o_ | 20 | _2_2]
63265;[o_ | 20 | _2_1]
63265;[o_ | 20 | _2_2]
63273;-
63273;-
63281;[o_13_2_1]
63281;[o_13_2_2]
63283;22 мая 2017 г.
63283;24 июля 2017 г.
63284;[o_19_2_1]
63284;[o_19_2_2]
63289;[o_13_2_1]
63289;[o_13_2_2]
63290;[o_19_2_1]
63290;[o_19_2_2]
63294;[o_13_2_1]
63294;[o_13_2_2]
63299;[o_13_2_1]
63299;[o_13_2_2]
63304;[o_ | 20 | _2_1]
63304;[o_ | 20 | _2_2]
63310;[o_19_2_1]
63310;[o_19_2_2]
63311;[o_13_2_1]
63311;[o_13_2_2]
63312;[o_19_2_1]
63312;[o_19_2_2]
63389;[o_19_2_1]
63389;[o_19_2_2]
63402;[o_19_2_1]
63402;[o_19_2_2]
63404;[o_19_2_1]
63404;[o_19_2_2]
63409;[o_19_2_1]
63409;[o_19_2_2]
63415;[o_13_2_1]
63415;[o_13_2_2]
63417;[o_19_2_1]
63417;[o_19_2_2]
63429;[o_13_2_1]
63429;[o_13_2_2]
63430;[o_19_2_1]
63430;[o_19_2_2]
63431;[o_19_2_1]
63431;[o_19_2_2]
63434;[o_13_2_1]
63434;[o_13_2_2]
63452;28/03/2017
63452; 3/04/2017
63483;13.12.2016
63483;27.12.2016
63484;[o_13_2_1]
63484;[o_13_2_2]
63497;14.04.2017
63497;16.05.2017
63499;[o_19_2_1]
63499;[o_19_2_2]
63507;[o_19_2_1]
63507;[o_19_2_2]
63510;[o_19_2_1]
63510;[o_19_2_2]
63515;[o_19_2_1]
63515;[o_19_2_2]
63520;[o_19_2_1]
63520;[o_19_2_2]
63539;[o_19_2_1]
63539;[o_19_2_2]
63540;[o_ | 20 | _2_1]
63540;[o_ | 20 | _2_2]
63562;19.04.2017
63562;03.05.2017
63576;[o_19_2_1]
63576;[o_19_2_2]
63586;[o_19_2_1]
63586;[o_19_2_2]
63591;[o_13_2_1]
63591;[o_13_2_2]
63600;[o_19_2_1]
63600;[o_19_2_2]
63611;03.04.2017
63611;12.06.2017
63615;[o_19_2_1]
63615;[o_19_2_2]
63621;03 апреля 2017 года
63621;17 апреля 2017 года
63623;[o_19_2_1]
63623;[o_19_2_2]
63638;26 апреля 2017 г.
63638;10 мая 2017 г.
63639;[o_ | 20 | _2_1]
63639;[o_ | 20 | _2_2]
63640;18 апреля 2017 г.
63640;18 мая 2017 г.
63644;[o_13_2_1]
63644;[o_13_2_2]
63649;[o_13_2_1]
63649;[o_13_2_2]
63653;[o_19_2_1]
63653;[o_19_2_2]
63664;[o_13_2_1]
63664;[o_13_2_2]
63670;[o_19_2_1]
63670;[o_19_2_2]
63675;[o_19_2_1]
63675;[o_19_2_2]
63693;[o_13_2_1]
63693;[o_13_2_2]
63710;[o_ | 20 | _2_1]
63710;[o_ | 20 | _2_2]
63716;[o_19_2_1]
63716;[o_19_2_2]
63719;[o_19_2_1]
63719;[o_19_2_2]
63720;[o_19_2_1]
63720;[o_19_2_2]
63732;07.04.2017
63732;05.05.2017
63740;[o_19_2_1]
63740;[o_19_2_2]
63745;[o_19_2_1]
63745;[o_19_2_2]
63764;07/04/2017
63764;20/04/2017
63765;[o_ | 20 | _2_1]
63765;[o_ | 20 | _2_2]
63769;[o_19_2_1]
63769;[o_19_2_2]
63798;[o_19_2_1]
