regulation_project_id;Оценка структуры регулируемых субъектов по категориям;Количественная (интервальная) оценка;Удельный вес(%)
78415;Крупные предприятия;Информация отсутствует;Информация отсутствует
78415;Малые предприятия;Информация отсутствует;Информация отсутствует
78415;Микропредприятия;Информация отсутствует;Информация отсутствует
78415;Средние предприятия;Информация отсутствует;Информация отсутствует
78417;Крупные предприятия;Отсутствует;Отсутствует
78417;Малые предприятия;Отсутствует;Отсутствует
78417;Микропредприятия;Отсутствует;Отсутствует
78417;Средние предприятия;Отсутствует;Отсутствует
78461;Крупные предприятия;нет;нет
78461;Малые предприятия;нет;нет
78461;Микропредприятия;нет;нет
78461;Средние предприятия;нет;нет
78465;Крупные предприятия;-;-
78465;Малые предприятия;-;-
78465;Микропредприятия;-;-
78465;Средние предприятия;-;-
78495;Крупные предприятия;не представляется возможной;определить не представляется возможным
78495;Малые предприятия;не представляется возможной;определить не представляется возможным
78495;Микропредприятия;не представляется возможной;определить не представляется возможным
78495;Средние предприятия;не представляется возможной;определить не представляется возможным
78506;Крупные предприятия;отсутствует;отсутствует
78506;Малые предприятия;отсутствует;отсутствует
78506;Микропредприятия;отсутствует;отсутствует
78506;Средние предприятия;отсутствует;отсутствует
78508;Крупные предприятия;отсутствует;отсутствует
78508;Малые предприятия;отсутствует;отсутствует
78508;Микропредприятия;отсутствует;отсутствует
78508;Средние предприятия;отсутствует;отсутствует
78511;Крупные предприятия;отсутствует;отсутствует
78511;Малые предприятия;отсутствует;отсутствует
78511;Микропредприятия;отсутствует;отсутствует
78511;Средние предприятия;отсутствует;отсутствует
78512;Крупные предприятия;отсутствует;отсутствует
78512;Малые предприятия;отсутствует;отсутствует
78512;Микропредприятия;отсутствует;отсутствует
78512;Средние предприятия;отсутствует;отсутствует
78513;Крупные предприятия;отсутствуют;отсутствуют
78513;Малые предприятия;отсутствуют;отсутствуют
78513;Микропредприятия;отсутствуют;отсутствуют
78513;Средние предприятия;отсутствуют;отсутствуют
78516;Крупные предприятия;отсутствуют;отсутствуют
78516;Малые предприятия;отсутствуют;отсутствуют
78516;Микропредприятия;отсутствуют;отсутствуют
78516;Средние предприятия;отсутствуют;отсутствуют
78522;Крупные предприятия;отсутствует;отсутствует
78522;Малые предприятия;отсутствует;отсутствует
78522;Микропредприятия;отсутствует;отсутствует
78522;Средние предприятия;отсутствует;отсутствует
78577;Крупные предприятия;-;-
78577;Малые предприятия;-;-
78577;Микропредприятия;-;-
78577;Средние предприятия;-;-
78654;Крупные предприятия;-;-
78654;Малые предприятия;-;-
78654;Микропредприятия;-;-
78654;Средние предприятия;-;-
78711;Крупные предприятия;Отсутствует;Отсутствует
78711;Малые предприятия;Отсутствует;Отсутствует
78711;Микропредприятия;Отсутствует;Отсутствует
78711;Средние предприятия;Отсутствует;Отсутствует
78731;Крупные предприятия;отсутствуют;отсутствуют
78731;Малые предприятия;отсутствуют;отсутствуют
78731;Микропредприятия;отсутствуют;отсутствуют
78731;Средние предприятия;отсутствуют;отсутствуют
78735;Крупные предприятия;-;-
78735;Малые предприятия;-;-
78735;Микропредприятия;-;-
78735;Средние предприятия;-;-
78788;Крупные предприятия;-;-
78788;Малые предприятия;-;-
78788;Микропредприятия;-;-
78788;Средние предприятия;-;-
78798;Крупные предприятия;отсутствуют;отсутствуют
78798;Малые предприятия;отсутствуют;отсутствуют
78798;Микропредприятия;отсутствует;отсутствуют
78798;Средние предприятия;отсутствуют;отсутствуют
78799;Крупные предприятия;Информация отсутствует;Информация отсутствует
78799;Малые предприятия;Информация отсутствует;Информация отсутствует
78799;Микропредприятия;Информация отсутствует;Информация отсутствует
78799;Средние предприятия;Информация отсутствует;Информация отсутствует
78801;Крупные предприятия;информация отсутствует;информация отсутствует
78801;Малые предприятия;информация отсутствует;информация отсутствует
78801;Микропредприятия;информация отсутствует;информация отсутствует
78801;Средние предприятия;информация отсутствует;информация отсутствует
78803;Крупные предприятия;информация отсутствует;информация отсутствует
78803;Малые предприятия;информация отсутствует;информация отсутствует
78803;Микропредприятия;информация отсутствует;информация отсутствует
78803;Средние предприятия;информация отсутствует;информация отсутствует
78805;Крупные предприятия; ; 
78805;Малые предприятия; ; 
78805;Микропредприятия; ; 
78805;Средние предприятия; ; 
78853;Крупные предприятия;нет;нет
78853;Малые предприятия;нет;нет
78853;Микропредприятия;нет;нет
78853;Средние предприятия;нет;нет
78933;Крупные предприятия;-;-
78933;Малые предприятия;-;-
78933;Микропредприятия;-;-
78933;Средние предприятия;-;-
79099;Крупные предприятия;-;-
79099;Малые предприятия;-;-
79099;Микропредприятия;-;-
79099;Средние предприятия;-;-
79140;Крупные предприятия; ; 
79140;Малые предприятия; ; 
79140;Микропредприятия; ; 
79140;Средние предприятия; ; 
79194;Крупные предприятия;Отсутствует;Отсутствует
79194;Малые предприятия;Отсутствует;Отсутствует
79194;Микропредприятия;Отсутствует;Отсутствует
79194;Средние предприятия;Отсутствует;Отсутствует
79259;Крупные предприятия;-;-
79259;Малые предприятия;-;-
79259;Микропредприятия;-;-
79259;Средние предприятия;-;-
79268;Крупные предприятия;-;-
79268;Малые предприятия;-;-
79268;Микропредприятия;-;-
79268;Средние предприятия;-;-
79279;Крупные предприятия;нет данных;нет данных
79279;Малые предприятия;нет данных;нет данных
79279;Микропредприятия;нет данных;нет данных
79279;Средние предприятия;нет данных;нет данных
79314;Крупные предприятия;0;0
79314;Малые предприятия;0;0
79314;Микропредприятия;0;0
79314;Средние предприятия;0;0
79336;Крупные предприятия;0;0
79336;Малые предприятия;0;0
79336;Микропредприятия;0;0
79336;Средние предприятия;0;0
79417;Крупные предприятия;-;-
79417;Малые предприятия;-;-
79417;Микропредприятия;-;-
79417;Средние предприятия;-;-
79428;Крупные предприятия;Отсутствует;Отсутствует
79428;Малые предприятия;Отсутствует;Отсутствует
79428;Микропредприятия;Отсутствует;Отсутствует
79428;Средние предприятия;Отсутствует;Отсутствует
79441;Крупные предприятия;0;0
79441;Малые предприятия;0;0
79441;Микропредприятия;0;0
79441;Средние предприятия;0;0
79443;Крупные предприятия;Отсутствует;Отсутствует
79443;Малые предприятия;Отсутствует;Отсутствует
79443;Микропредприятия;Отсутствует;Отсутствует
79443;Средние предприятия;Отсутствует;Отсутствует
79494;Крупные предприятия;Отсутствует;Отсутствует
79494;Малые предприятия;Отсутствует;Отсутствует
79494;Микропредприятия;Отсутствует;Отсутствует
79494;Средние предприятия;Отсутствует;Отсутствует
79616;Крупные предприятия;20;0,06
79616;Малые предприятия;1108;3,5
79616;Микропредприятия;29862;95,3
79616;Средние предприятия;345;1,1
79618;Крупные предприятия;информация уточняется;информация уточняется
79618;Малые предприятия;информация уточняется;информация уточняется
79618;Микропредприятия;информация уточняется;информация уточняется
79618;Средние предприятия;информация уточняется;информация уточняется
79621;Крупные предприятия;информация уточняется;информация уточняется
79621;Малые предприятия;информация уточняется;информация уточняется
79621;Микропредприятия;информация уточняется;информация уточняется
79621;Средние предприятия;информация уточняется;информация уточняется
79683;Крупные предприятия;отсутствует;отсутствует
79683;Малые предприятия;отсутствует;отсутствует
79683;Микропредприятия;отсутсвует;отсутствует
79683;Средние предприятия;отсутствует;отсутствует
79688;Крупные предприятия;отсутсвует;отсутсвует
79688;Малые предприятия;отсутсвует;отсутсвует
79688;Микропредприятия;отсутсвует;отсутсвует
79688;Средние предприятия;отсутсвует;отсутсвует
79694;Крупные предприятия;Отсутствует;Отсутствует
79694;Малые предприятия;Отсутствует;Отсутствует
79694;Микропредприятия;Отсутствует;Отсутствует
79694;Средние предприятия;Отсутствует;Отсутствует
79719;Крупные предприятия;-;-
79719;Малые предприятия;-;-
79719;Микропредприятия;-;-
79719;Средние предприятия;-;-
79790;Крупные предприятия;30;0,43%
79790;Малые предприятия;4500;64,01%
79790;Микропредприятия;2000;28,45%
79790;Средние предприятия;500;7,11%
79802;Крупные предприятия;-;-
79802;Малые предприятия;-;-
79802;Микропредприятия;-;-
79802;Средние предприятия;-;-
79916;Крупные предприятия;-;-
79916;Малые предприятия;-;-
79916;Микропредприятия;-;-
79916;Средние предприятия;-;-
79996;Крупные предприятия;-;-
79996;Малые предприятия;-;-
79996;Микропредприятия;-;-
79996;Средние предприятия;-;-
80081;Крупные предприятия;информация уточняется;информация уточняется
80081;Малые предприятия;информация уточняется;информация уточняется
80081;Микропредприятия;информация уточняется;информация уточняется
80081;Средние предприятия;информация уточняется;информация уточняется
80110;Крупные предприятия;Неограниченный круг;45
80110;Малые предприятия;Неограниченный круг;20
80110;Микропредприятия;Неограниченный круг;5
80110;Средние предприятия;Неограниченный круг;30
80166;Крупные предприятия;-;-
80166;Малые предприятия;-;-
80166;Микропредприятия;-;-
80166;Средние предприятия;-;-
80310;Крупные предприятия;-;-
80310;Малые предприятия;-;-
80310;Микропредприятия;-;-
80310;Средние предприятия;-;-
80315;Крупные предприятия;нет;нет
80315;Малые предприятия;нет;нет
80315;Микропредприятия;нет;нет
80315;Средние предприятия;нет;нет
80377;Крупные предприятия;нет;нет
80377;Малые предприятия;нет;нет
80377;Микропредприятия;нет;нет
80377;Средние предприятия;нет;нет
80385;Крупные предприятия;Информация отсутствует;Информация отсутствует
80385;Малые предприятия;Информация отсутствует;Информация отсутствует
80385;Микропредприятия;Информация отсутствует;Информация отсутствует
80385;Средние предприятия;Информация отсутствует;Информация отсутствует
80398;Крупные предприятия;Оценка не производилась;Оценка не производилась
80398;Малые предприятия;Оценка не производилась;Оценка не производилась
80398;Микропредприятия;Оценка не производилась;Оценка не производилась
80398;Средние предприятия;Оценка не производилась;Оценка не производилась
80403;Крупные предприятия;0;0
80403;Малые предприятия;0;0
80403;Микропредприятия;0;0
80403;Средние предприятия;0;0
80404;Крупные предприятия;0;0
80404;Малые предприятия;0;0
80404;Микропредприятия;0;0
80404;Средние предприятия;0;0
80406;Крупные предприятия;отсутствует;отсутствует
80406;Малые предприятия;отсутствует;отсутствует
80406;Микропредприятия;отсутствует;отсутствует
80406;Средние предприятия;отсутствует;отсутствует
80425;Крупные предприятия;Не зависит от масштаба предприятия;-
80425;Малые предприятия;Не зависит от масштаба предприятия;-
80425;Микропредприятия;Не зависит от масштаба предприятия;-
80425;Средние предприятия;Не зависит от масштаба предприятия;-
80433;Крупные предприятия;-;-
80433;Малые предприятия;-;-
80433;Микропредприятия;-;-
80433;Средние предприятия;-;-
80452;Крупные предприятия;-;-
80452;Малые предприятия;-;-
80452;Микропредприятия;-;-
80452;Средние предприятия;-;-
80489;Крупные предприятия;-;-
80489;Малые предприятия;-;-
80489;Микропредприятия;-;-
80489;Средние предприятия;-;-
80545;Крупные предприятия;-;-
80545;Малые предприятия;-;-
80545;Микропредприятия;-;-
80545;Средние предприятия;-;-
80581;Крупные предприятия;Отсутствует;Отсутствует
80581;Малые предприятия;Отсутствует;Отсутствует
80581;Микропредприятия;Отсутствует;Отсутствует
80581;Средние предприятия;Отсутствует;Отсутствует
80749;Крупные предприятия;-;-
80749;Малые предприятия;-;-
80749;Микропредприятия;-;-
80749;Средние предприятия;-;-
80751;Крупные предприятия;_;_
80751;Малые предприятия;_;_
80751;Микропредприятия;_;_
80751;Средние предприятия;_;_
80827;Крупные предприятия;-;-
80827;Малые предприятия;-;-
80827;Микропредприятия;-;-
80827;Средние предприятия;-;-
80870;Крупные предприятия;нет информации;нет информации
80870;Малые предприятия;507;12
80870;Микропредприятия;2211;52
80870;Средние предприятия;1508;36
80880;Крупные предприятия;отсутствует;0
80880;Малые предприятия;отсутствует;0
80880;Микропредприятия;отсутствует;0
80880;Средние предприятия;47000;100
80902;Крупные предприятия;-;-
80902;Малые предприятия;-;-
80902;Микропредприятия;Ограничения производства и оборота алкогольной продукции (за исключением закупки, поставок, хранения и (или) перевозок в целях вывоза за пределы территории Российской Федерации (экспорта) с содержанием этилового спирта менее 15 процентов объема готовой продукции, содержащей тонизирующие вещества (компоненты), установлены п. 8 ст. 11 Федерального закона от 22.11.1995 № 171-ФЗ;-
80902;Средние предприятия;-;-
80942;Крупные предприятия;-;-
80942;Малые предприятия;-;-
80942;Микропредприятия;-;-
80942;Средние предприятия;-;-
80945;Крупные предприятия;-;-
80945;Малые предприятия;-;-
80945;Микропредприятия;-;-
80945;Средние предприятия;-;-
81049;Крупные предприятия;отсутствует;-
81049;Малые предприятия;отсутствует;-
81049;Микропредприятия;отсутствует;-
81049;Средние предприятия;отсутствует;-
81059;Крупные предприятия;отсутствует;-
81059;Малые предприятия;отсутствует;-
81059;Микропредприятия;отсутствует;-
81059;Средние предприятия;отсутствует;-
81180;Крупные предприятия;информация уточняется;информация уточняется
81180;Малые предприятия;информация уточняется;информация уточняется
81180;Микропредприятия;информация уточняется;информация уточняется
81180;Средние предприятия;информация уточняется;информация уточняется
81192;Крупные предприятия;Отсутствуют;Отсутствуют
81192;Малые предприятия;Отсутствуют;Отсутствуют
81192;Микропредприятия;Отсутствуют;Отсутствуют
81192;Средние предприятия;Отсутствуют;Отсутствуют
81210;Крупные предприятия;-;-
81210;Малые предприятия;-;-
81210;Микропредприятия;-;-
81210;Средние предприятия;-;-
81221;Крупные предприятия;-;-
81221;Малые предприятия;-;-
81221;Микропредприятия;-;-
81221;Средние предприятия;-;-
81230;Крупные предприятия;учет не ведется;отсутствует
81230;Малые предприятия;учет не ведется;отсутствует
81230;Микропредприятия;учет не ведется;отсутствует
81230;Средние предприятия;учет не ведется;отсутствует
81244;Крупные предприятия;-;-
81244;Малые предприятия;-;-
81244;Микропредприятия;-;-
81244;Средние предприятия;-;-
81246;Крупные предприятия;-;-
81246;Малые предприятия;-;-
81246;Микропредприятия;-;-
81246;Средние предприятия;-;-
81249;Крупные предприятия;-;-
81249;Малые предприятия;-;-
81249;Микропредприятия;-;-
81249;Средние предприятия;-;-
81256;Крупные предприятия;нет;отсутствует
81256;Малые предприятия;8;0,19
81256;Микропредприятия;4256;99,81
81256;Средние предприятия;нет;отсутствует
81442;Крупные предприятия;Количественные данные отсутствуют;-
81442;Малые предприятия;Количественные данные отсутствуют;-
81442;Микропредприятия;Количественные данные отсутствуют;-
81442;Средние предприятия;Количественные данные отсутствуют;-
81477;Крупные предприятия; ; 
81477;Малые предприятия; ; 
81477;Микропредприятия; ; 
81477;Средние предприятия; ; 
81518;Крупные предприятия;-;-
81518;Малые предприятия;-;-
81518;Микропредприятия;-;-
81518;Средние предприятия;-;-
81583;Крупные предприятия;-;-
81583;Малые предприятия;-;-
81583;Микропредприятия;-;-
81583;Средние предприятия;-;-
81691;Крупные предприятия;-;-
81691;Малые предприятия;-;-
81691;Микропредприятия;-;-
81691;Средние предприятия;-;-
81703;Крупные предприятия;Информация отсутствует;Информация отсутствует
81703;Малые предприятия;Информация отсутствует;Информация отсутствует
81703;Микропредприятия;Информация отсутствует;Информация отсутствует
81703;Средние предприятия;Информация отсутствует;Информация отсутствует
81711;Крупные предприятия;Отсутствует;Отсутствует
81711;Малые предприятия;Отсутствует;Отсутствует
81711;Микропредприятия;Отсутствует;Отсутствует
81711;Средние предприятия;Отсутствует;Отсутствует
81718;Крупные предприятия;Информация отсутствует;Информация отсутствует
81718;Малые предприятия;Информация отсутствует;Информация отсутствует
81718;Микропредприятия;Информация отсутствует;Информация отсутствует
81718;Средние предприятия;Информация отсутствует;Информация отсутствует
81763;Крупные предприятия;-;-
81763;Малые предприятия;-;-
81763;Микропредприятия;-;-
81763;Средние предприятия;-;-
81769;Крупные предприятия;Отсутствует;Отсутствует
81769;Малые предприятия;Отсутствует;Отсутствует
81769;Микропредприятия;Отсутствует;Отсутствует
81769;Средние предприятия;Отсутствует;Отсутствует
81785;Крупные предприятия;-;-
81785;Малые предприятия;-;-
81785;Микропредприятия;-;-
81785;Средние предприятия;-;-
81898;Крупные предприятия;0;0
81898;Малые предприятия;0;0
81898;Микропредприятия;0;0
81898;Средние предприятия;0;0
81912;Крупные предприятия;отсутствует;отсутствует
81912;Малые предприятия;отсутствует;отсутствует
81912;Микропредприятия;отсутствует;отсутствует
81912;Средние предприятия;отсутствует;отсутствует
81934;Крупные предприятия;На данный момент отсутствует;-
81934;Малые предприятия;На данный момент отсутствует;-
81934;Микропредприятия;На данный момент отсутствует;-
81934;Средние предприятия;На данный момент отсутствует;-
81945;Крупные предприятия;На данный момент отсутствует;-
81945;Малые предприятия;На данный момент отсутствует;-
81945;Микропредприятия;На данный момент отсутствует;-
81945;Средние предприятия;На данный момент отсутствует;-
81962;Крупные предприятия;На данный момент отсутствует;-
81962;Малые предприятия;На данный момент отсутствует;-
81962;Микропредприятия;На данный момент отсутствует;-
81962;Средние предприятия;На данный момент отсутствует;-
82002;Крупные предприятия;На данный момент отсутствует;-
82002;Малые предприятия;На данный момент отсутствует;-
82002;Микропредприятия;На данный момент отсутствует;-
82002;Средние предприятия;На данный момент отсутствует;-
82017;Крупные предприятия;-;-
82017;Малые предприятия;-;-
82017;Микропредприятия;-;-
82017;Средние предприятия;-;-
82032;Крупные предприятия;-;-
82032;Малые предприятия;-;-
82032;Микропредприятия;-;-
82032;Средние предприятия;-;-
82046;Крупные предприятия;Отсутствует.;Отсутствует.
82046;Малые предприятия;Отсутствует.;Отсутствует.
82046;Микропредприятия;Отсутствует.;Отсутствует.
82046;Средние предприятия;Отсутствует.;Отсутствует.
82089;Крупные предприятия;отсутствует;отсутствует
82089;Малые предприятия;отсутствует;отсутствует
82089;Микропредприятия;отсутствует;отсутствует
82089;Средние предприятия;отсутствует;отсутствует
82121;Крупные предприятия;-;-
82121;Малые предприятия;-;-
82121;Микропредприятия;-;-
82121;Средние предприятия;-;-
82172;Крупные предприятия;Отсутствует;Отсутствует
82172;Малые предприятия;Отсутствует;Отсутствует
82172;Микропредприятия;Отсутствует;Отсутствует
82172;Средние предприятия;Отсутствует;Отсутствует
82279;Крупные предприятия;-;-
82279;Малые предприятия;-;-
82279;Микропредприятия;-;-
82279;Средние предприятия;-;-
82340;Крупные предприятия;0;0
82340;Малые предприятия;0;0
82340;Микропредприятия;0;0
82340;Средние предприятия;0;0
82419;Крупные предприятия;-;-
82419;Малые предприятия;-;-
82419;Микропредприятия;-;-
82419;Средние предприятия;-;-
82491;Крупные предприятия;0;0
82491;Малые предприятия;0;0
82491;Микропредприятия;0;0
82491;Средние предприятия;0;0
82527;Крупные предприятия;0;0
82527;Малые предприятия;0;0
82527;Микропредприятия;0;0
82527;Средние предприятия;0;0
82552;Крупные предприятия;На данный момент отсутствует;-
82552;Малые предприятия;На данный момент отсутствует;-
82552;Микропредприятия;На данный момент отсутствует;-
82552;Средние предприятия;На данный момент отсутствует;-
82560;Крупные предприятия;На данный момент отсутствует;-
82560;Малые предприятия;На данный момент отсутствует;-
82560;Микропредприятия;На данный момент отсутствует;-
82560;Средние предприятия;На данный момент отсутствует;-
82564;Крупные предприятия;На данный момент отсутствует;-
82564;Малые предприятия;На данный момент отсутствует;-
82564;Микропредприятия;На данный момент отсутствует;-
82564;Средние предприятия;На данный момент отсутствует;-
82631;Крупные предприятия;нет;нет
82631;Малые предприятия;нет;нет
82631;Микропредприятия;нет;нет
82631;Средние предприятия;нет;нет
82660;Крупные предприятия;отсутствует;отсутствует
82660;Малые предприятия;отсутствует;отсутствует
82660;Микропредприятия;отсутствует;отсутствует
82660;Средние предприятия;отсутствует;отсутствует
82667;Крупные предприятия;-;-
82667;Малые предприятия;-;-
82667;Микропредприятия;-;-
82667;Средние предприятия;-;-
82681;Крупные предприятия;Отсутствует;-
82681;Малые предприятия;Отсутствует;-
82681;Микропредприятия;Отсутствует;-
82681;Средние предприятия;Отсутствует;-
82701;Крупные предприятия;нет данных;нет данных
82701;Малые предприятия;нет данных;нет данных
82701;Микропредприятия;нет данных;нет данных
82701;Средние предприятия;нет данных;нет данных
82806;Крупные предприятия;-;-
82806;Малые предприятия;-;-
82806;Микропредприятия;-;-
82806;Средние предприятия;-;-
82811;Крупные предприятия;-;-
82811;Малые предприятия;-;-
82811;Микропредприятия;-;-
82811;Средние предприятия;-;-
82856;Крупные предприятия;-;-
82856;Малые предприятия;-;-
82856;Микропредприятия;-;-
82856;Средние предприятия;-;-
82885;Крупные предприятия;-;-
82885;Малые предприятия;-;-
82885;Микропредприятия;-;-
82885;Средние предприятия;-;-
82946;Крупные предприятия;-;-
82946;Малые предприятия;-;-
82946;Микропредприятия;-;-
82946;Средние предприятия;-;-
82954;Крупные предприятия;-;-
82954;Малые предприятия;-;-
82954;Микропредприятия;-;-
82954;Средние предприятия;-;-
83005;Крупные предприятия;-;-
83005;Малые предприятия;-;-
83005;Микропредприятия;-;-
83005;Средние предприятия;-;-
83009;Крупные предприятия;нет;нет
83009;Малые предприятия;нет;нет
83009;Микропредприятия;нет;нет
83009;Средние предприятия;нет;нет
83012;Крупные предприятия;нет;нет
83012;Малые предприятия;нет;нет
83012;Микропредприятия;нет;нет
83012;Средние предприятия;нет;нет
83125;Крупные предприятия;0;0
83125;Малые предприятия;0;0
83125;Микропредприятия;0;0
83125;Средние предприятия;0;0
83144;Крупные предприятия;Отсутствует;Отсутствует
83144;Малые предприятия;Отсутствует;Отсутствует
83144;Микропредприятия;Отсутствует;Отсутствует
83144;Средние предприятия;Отсутствует;Отсутствует
83259;Крупные предприятия;Информация отсутствует;Информация отсутствует
83259;Малые предприятия;Информация отсутствует;Информация отсутствует
83259;Микропредприятия;Информация отсутствует;Информация отсутствует
83259;Средние предприятия;Информация отсутствует;Информация отсутствует
83264;Крупные предприятия;Информация отсутствует;Информация отсутствует
83264;Малые предприятия;Информация отсутствует;Информация отсутствует
83264;Микропредприятия;Информация отсутствует;Информация отсутствует
83264;Средние предприятия;Информация отсутствует;Информация отсутствует
83267;Крупные предприятия;Информация отсутствует;Информация отсутствует
83267;Малые предприятия;Информация отсутствует;Информация отсутствует
83267;Микропредприятия;Информация отсутствует;Информация отсутствует
83267;Средние предприятия;Информация отсутствует;Информация отсутствует
83286;Крупные предприятия;нет;-
83286;Малые предприятия;нет;-
83286;Микропредприятия;нет;-
83286;Средние предприятия;нет;-
83321;Крупные предприятия;без изменений;без изменений
83321;Малые предприятия;без изменений;без изменений
83321;Микропредприятия;без изменений;без изменений
83321;Средние предприятия;без изменений;без изменений
83336;Крупные предприятия;-;-
83336;Малые предприятия;-;--
83336;Микропредприятия;-;-
83336;Средние предприятия;-;-
83375;Крупные предприятия;отсутствует;-
83375;Малые предприятия;отсутствует;-
83375;Микропредприятия;отсутствует;-
83375;Средние предприятия;отсутствует;-
83406;Крупные предприятия;-;-
83406;Малые предприятия;-;-
83406;Микропредприятия;-;-
83406;Средние предприятия;-;-
83419;Крупные предприятия;-;-
83419;Малые предприятия;-;-
83419;Микропредприятия;-;-
83419;Средние предприятия;-;-
83438;Крупные предприятия;500;100
83438;Малые предприятия;0;0
83438;Микропредприятия;0;0
83438;Средние предприятия;0;0
83490;Крупные предприятия;нет данных;нет данных
83490;Малые предприятия;нет данных;нет данных
83490;Микропредприятия;нет данных;нет данных
83490;Средние предприятия;нет данных;нет данных
83506;Крупные предприятия; ; 
83506;Малые предприятия; ; 
83506;Микропредприятия; ; 
83506;Средние предприятия; ; 
83509;Крупные предприятия;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется
83509;Малые предприятия;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется
83509;Микропредприятия;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется
83509;Средние предприятия;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется;В соответствии с действующим законодательством учет структуры регулируемых субъектов по категориям в информационных системах Ростехнадзора не осуществляется
83532;Крупные предприятия; ; 
83532;Малые предприятия; ; 
83532;Микропредприятия; ; 
83532;Средние предприятия; ; 
83537;Крупные предприятия; ; 
83537;Малые предприятия; ; 
83537;Микропредприятия; ; 
83537;Средние предприятия; ; 
83575;Крупные предприятия;отсутствует;-
83575;Малые предприятия;отсутствует;-
83575;Микропредприятия;отсутствует;-
83575;Средние предприятия;отсутствует;-
83577;Крупные предприятия;Отсутствует;Отсутствует
83577;Малые предприятия;Отсутствует;Отсутствует
83577;Микропредприятия;Отсутствует;Отсутствует
83577;Средние предприятия;Отсутствует;Отсутствует
83609;Крупные предприятия;7;100
83609;Малые предприятия;-;-
83609;Микропредприятия;-;-
83609;Средние предприятия;-;-
83624;Крупные предприятия;0;0
83624;Малые предприятия;0;0
83624;Микропредприятия;0;0
