regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
81781;-
81782;26 июня 2018 г.
81782;9 июля 2018 г.
81785;-
81785;-
81786;26 июня 2018 г.
81786;9 июля 2018 г.
81787;26.06.2018
81787;09.07.2018
81808;-
81808;-
81816;27.06.2018
81816;17.07.2018
81817;_____
81817;_____
81834;28 июня 2018 г.
81834;12 июля 2018 г.
81839;нет
81839;нет
81848;Уведомление не размещалось
81848;Уведомление не размещалось
81861;информация уточняется
81861;информация уточняется
81862;не установлен
81862;не установлен
81866;29.06.2018 г.
81866;19.07.2018 г.
81867;29 июня 2018
81867;12 июля 2018
81875;нет
81875;нет
81879;-
81879;-
81880;-
81880;-
81884;-
81884;-
81894;05/06/2018
81894;19/06/2018
81898;02.07.2018
81898;13.07.2018
81904;-
81904;-
81907;уведомление не размещалось 
81907;уведомление не размещалось 
81912;02.07.2018 
81912;06.08.2018
81914;02.07.2018
81914;13.07.2018
81925;Отсутствует
81925;Отсутствует
81934;-
81934;-
81935;нет
81935;нет
81936;Нет
81936;Нет
81938;-
81938;-
81940;-
81940;-
81945;-
81945;-
81946;уведомление не размещалось
81946;уведомление не размещалось
81962;-
81962;-
81968;нет
81968;нет
81980;Отсутствует
81980;Отсутствует
81987;04 июля 2018
81987;17 июля 2018
81990;-
81990;-
81991;04.07.2018
81991;14.07.2018
81992;Уведомление не размещалось
81992;Уведомление не размещалось
81996;-
81996;-
82002;-
82002;-
82004;"нет
"
82004;"нет
"
82006;Не предусмотрено
82006;Не предусмотрено
82011;нет
82011;нет
82017;-
82017;-
82026;Нет
82026;Нет
82030;-
82030;-
82031;-
82031;-
82032;-
82032;-
82036;05.07.2018
82036;25.07.2018
82046;Отсутствует.
82046;Отсутствует.
82058;06.07.2018
82058;19.07.2018
82068;-
82068;-
82089;нет
82089;нет
82092;Отсутствует
82092;Отсутствует
82093;28.08.2018
82093;17.09.2018
82094;-
82094;-
82096;06.07.2018
82096;23.08.2018
82121;09.07.2018
82121;18.07.2018
82144;Отсутствует
82144;Отсутствует
82150;10.07.2018
82150;18.07.2018
82155;10.07.2018
82155;18.07.2018
82162;20.06.2018
82162;05.07.2018
82167;11 июля 2018 г.
82167;24 июля 2018 г.
82168;-
82168;-
82172;11.07.2018
82172;31.07.2018
82181;-
82181;-
82187;-
82187;-
82192;Обсуждения уведомления не проводилось
82192;Обсуждения уведомления не проводилось
82196;Не размещалось.
82196;Не размещалось.
82211;12.07.2018 г.
82211;22.07.2018 г.
82222;12 июля 2018
82222;25 июля 2018
82223;12 июля 2018 г.
82223;1 августа 2018 г.
82229;12 июля 2018 г.
82229;1 августа 2018 г.
82232;12.07.2018
82232;02.08.2018
82233;12.07.2018
82233;26.07.2018
82237;12.07.2018
82237;25.07.2018
82239;12.07.2018
82239;25.07.2018
82277;Информация отсутствует
82277;Информация отсутствует
82278;-
82278;-
82279;-
82279;-
82294;Нет
82294;Нет
82324;Информация отсутствует
82324;Информация отсутствует
82338;-
82338;-
82340;-
82340;-
82341;-
82341;-
82350;-
82350;-
82358;28.07.2018
82358;31.07.2018
82364;уведомление не размещалось
82364;уведомление не размещалось
82365;18.07.2018
82365;26.07.2018
82367;-
82367;-
82373;-
82373;-
82376;18 июля 2018 г.
82376;7 августа 2018 г.
82379;20.07.2018
82379;9.08.2018
82395;19.07.2018
82395;08.08.20187
82398;19.07.2018
82398;08.08.2018
82418;15.02.2018
82418;01.06.2018
82419;20.07.2018
82419;16.08.2018
82427;22.07.2018
82427;22.08.2018
82433;20.07.2018
82433;09.08.2018
82437;Информация уточняется
82437;Информация уточняется
82467;-
82467;-
82488;-
82488;-
82491;уведомление не размещалось
82491;уведомление не размещалось
82492;23  июля 2018 г.
82492;10 августа 2018 г.
82502; 
82502; 
82513;02.03.2018
82513;19.03.2018
82527;-
82527;-
82528;24.07.2018
82528;07.08.2018
82529;Отсутствует
82529;Отсутствует
82550;08.08.2018
82550;17.09.2018
82552;-
82552;-
82554;-
82554;-
82555;-
82555;-
82557;25.07.2018
82557;23.08.2018
82559;нет
82559;нет
82560;-
82560;-
82562;-
82562;-
82564;-
82564;-
82566;Отсутствует.
82566;Отсутствует.
82576;нет
82576;нет
82580;нет
82580;нет
82600;нет
82600;нет
82607;не проводилось
82607;-
82621;-
82621;-
82625;-
82625;-
82631; нет
82631; нет
82640;-
82640;-
82643;-
82643;-
82660;отсутствует
82660;отсутствует
82667;-
82667;-
82681;Отсутствует
82681;Отсутствует 
82693;-
82693;-
82701;09.07.2018
82701;24.07.2018
82703;31.07.2018
82703;13.08.2018
82704;уведомление не размещалось
82704;уведомление не размещалось
82718;01.08.2018
82718;21.08.2018
82749;01.08.2018
82749;14.08.2018
82755;нет
82755;нет
82761;Нет
82761;Нет
82764;Отсутствует
82764;Отсутствует
82767;Отсутствуют
82767;Отсутствуют
82770;-
82770;-
82778;-
82778;-
82779;отсутствует
82779;отсутствует
82787;не требуется
82787;не требуется
82805;Уведомление не размещалось
82805;Уведомление не размещалось
82806;-
82806;-
82808;отсутствует
82808;отсутствует
82811;03.08.2018
82811;22.08.2018
82815;-
82815;-
82817;-
82817;-
82832;5 августа 2018 г.
82832;16 августа 2018 г.
82836;-
82836;-
82843;-
82843;-
82849;Информация уточняется
82849;Информация уточняется
82856;-
82856;-
82858;-
82858;-
82860;-
82860;-
82866;-
82866;-
82875;07.08.2018
82875;20.08.2018
82877;-
82877;-
82885;07.08.2018 
82885;23.08.2018
82886;уведомление не размещалось
82886;уведомление не размещалось 
82908;Отсутствует
82908;Отсутствует
82914;уведомление не размещалось 
82914;уведомление не размещалось 
82918;«08» августая 2018 г.
82918;«21» августа 2018 г.
82937;нет
82937;нет
82943;13.08.2018
82943;21.08.2018
82946;-
82946;-
82954;-
82954;-
82958;13.08.2018
82958;21.08.2018
82969;10 август 2018 г.
82969;23 август 2018
82975;13.08.2018
82975;21ю08.2018
82981;уведомление не размещалось
82981;уведомление не размещалось
82982;Отсутствует
82982;Отсутствует
82988;20.08.2018
82988;07.09.2018
82989;20.08.2018
82989;31.08.2018
82994;-
82994;-
83001;13.08.2018
83001;31.08.2018
83005;-
83005;-
83006;-
83006;-
83009;-
83009;-
83012;обсуждение  уведомления не проводилось
83012;обсуждение уведомления не проводилось
83014;01.03.2018
83014;23.03.2018
83015;13.08.2018
83015;24.08.2018
83016;-
83016;-
83030;нет
83030;нет
83038;нет
83038;нет
83043;Уведомление не размещалось
83043;-
83048;-
83048;-
83063;-
83063;-
83083;Нет
83083;Нет
83125;15.08.2018
83125;28.08.2018
83138;16 августа 2018 г.
83138;26 августа 2018 г.
83140;-
83140;-
83142;-
83142;-
83144;Отсутствует
83144;Отсутствует
83146;16/08/2018
83146;10/09/2018
83149;-
83149;-
83153;не указан
83153;не указан
83159;-
83159;-
83169;-
83169;-
83197;29.05.2018 
83197;09.06.2018
83204;«17» августа 2018 г.
83204;«30» августа 2018 г.
83208;уведомление не размещалось
83208;уведомление не размещалось
83215;-
83215;-
83220;Отсутствует
83220;Отсутствует
83225;20.08.2018
83225;07.09.2018
83233;-
83233;-
83243; не размещался
83243;не размещался
83247;-
83247;-
83251;нет
83251;нет
83259;нет
83259;нет
83264;нет
83264;нет
83267;нет
83267;нет
83268;-
83268;-
83273;22.08.2018 
83273;06.09.2018
83286;22 августа 2018 г.
83286;4 сентября 2018 г.
83289;30.07.2018
83289;13.08.2018
83315; 
83315; 
83316;-
83316;-
83321;23.08.2018
83321;05.09.2018
83323;-
83323;-
83325;23.08.2018
83325;05.09.2018
83329;Отсутствует
83329;Отсутствует
83332;-
83332;-
83335;-
83335;-
83336;Отсутствует
83336;Отсутствует
83355;09.06.2018
83355;02.07.2018
83357;-
83357;-
83361;24.08.2018
83361;06.09.2018
83362;Отсутствует
83362;Отсутствует
83371;«24» августа 2018 г.
83371;«06» сентября 2018 г.
83375;«24» августа 2018 г.
83375;«06» сентября 2018 г.
83386;24.08.2018
83386;06.09.2018
83390;-
83390;-
83400; 
83400; 
83406;24.08.2018
83406;6.09.2018
83407;Не определено, проект приказа размещен без уведомления 
83407;Не определено, проект приказа размещен без уведомления
83411;28.01.2019
83411;11.02.2019
83413;27.08.2018
83413;07.09.2018
83414;Уведомление не размещалось.
83414;Уведомление не размещалось.
83419;-
83419;-
83438;  29 августа 2018 г.
83438; 11 сентября 2018 г.
83467;28 августа 2018 г.
83467;6 сентября 2018 г.
83470;28 августа 2018 г.
83470;1 сентября 218 г. 
83472;-
83472;-
83473;Информация уточняется
83473;Информация уточняется
83477;-
83477;-
83480;-
83480;-
83490;нет данных
83490;нет данных
83493;-
83493;-
83506; 
83506; 
83509;-
83509;-
83514;31.08.2018 г.
83514;20.09.2018 г.
83515;29 августа 2018 г.
83515;12 сентября 2018 г.
83522;18.04.2019
83522;23.05.2019
83527;30 августа 2018 г.
83527;21 сентября 2018 г.
83532; 
83532; 
83533;нет
83533;нет
83535;нет
83535;нет
83537; 
83537; 
83539;30.08.2018
83539;20.09.2018
83542;-
83542;-
83550;20.04.2018
83550;30.07.2018
83554;-
83554;-
83562;03.09.2018
83562;26.09.2018
83563;31 августа 2018 г.
83563;13 сентября 2018 г. 
83567;-
83567;-
83571;-
83571;-
83575;«31» августа 2018 г.
83575;«13» сентября 2018 г.
83577;Отсутствует
83577;Отсутствует
83587;-
83587;-
83589;августа 2018 г.
83589;сентября 2018 г.
83590;31 августа 2019 г.
83590;7 марта 2019 г.
83594;нет
83594;нет
83609;03.09.2018
83609;28.09.2018
83611;14.10.2019
83611;1.11.2019
83624;не размещалось
83624;не размещалось
83629;нет
83629;нет
83631;нет
83631;нет
83636;Отсутствует
83636;Отсутствует
83642;-
83642;-
83650;04.09.2018
83650;24.09.2018
83658;-
83658;-
83659;-
83659;-
83661;нет данных
83661;нет данных
83668;-
83668;-
83669;05/09/2018
83669;18/09/2018
83671;Отсутствует
83671;Отсутствует
83672;Не указан
83672;Не указан
83678;05.09.2018
83678;14.09.2018
83679;-
83679;-
83680;-
83680;-
83686;-
83686;-
83687;нет
83687;нет
83697;06/09/2018
83697;26/09/2018
83703;_
83703;_
83705;нет
83705;нет
83706;06.09.2018 
83706;19.09.2018
83707;06/09/2018
83707;26/09/2018
83709;_
83709;_
83711;-
83711;-
83714; 
83714; 
83720;29.11.2018
83720;13.12.2018
83723;нет
83723;нет
83724;-
83724;-
83726;нет
83726;нет
83729;06.09.2018
83729;19.09.2018
83730;-
83730;-
83732;-
83732;-
83733;6 сентября 2018 г.
83733;12 сентября 2018 г.
83734;-
83734;-
83737;отсутствует
83737;отсутствует
83738;не размещалось
83738;не размещалось
83745;-
83745;-
83753; 
83753; 
83755;07/09/2018
83755;-
83770;-
83770;-
83778;нет данных
83778;нет данных
83781;нет данных
83781;нет данных
83782;-
83782;-
83788;-
83788;-
83794;25.04.2018
83794;18.05.2018
83803;10.09.2018 г. 
83803;21.09.2018 г.
83810;"
уведомление о подготовке акта не размещалось
"
83810;"
уведомление о подготовке акта не размещалось
"
83814;Процедура уведомоления по законопроекту по решению разработчика не проводилась
83814;Процедура уведомоления по законопроекту по решению разработчика не проводилась
83816;10.09.2018
83816;30.09.2018
83818;уведомление о подготовке акта не размещалось
83818;уведомление о подготовке акта не размещалось
83823;нет
83823;нет
83852;10 сентября 2018 г.
83852;5 октября 2018 г.
83855;нет
83855;нет
83881;11.09.2018
83881;08.10.2018
83883;-
83883;-
83894;30.10.2019
83894;11.11.2019
83902;-
83902;-
83906;12.09.2018
83906;25.09.2018
83907;-
83907;-
83911;-
83911;-
83924;нет
83924;нет
83928;12.09.2018
83928;02.10.2018
83939; -
83939; -
83945;отсутствует 
83945;отсутствует 
83950;13.09.2018
83950;27.09.2018
83952;нет данных
83952;нет данных
83958;отсутствуют
83958;отсутствуют
83971;13 сентября 2018 г.
83971;2 октября 2018 г.
83974;13.09.2018
83974;01.10.2018
83991;отсутствует
83991;отсутствует
84004;14.09.2018
84004;27.09.2018
84021;-
84021;-
84039; 
84039; 
84041; 
84041; 
84044; 
84044; 
84047; 
84047; 
84048;-
84048;-
84075;18.09.2018
84075;01.10.2018
84088;-
84088;-
84096;отсутствует
84096;отсутствует
84098;–
84098;–
84113;18 сентября 2018 г.
84113;8 октября 2018 г.
84116;по решению руководства Минсельхоза России на основании п.9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, уведомление не размещалось
84116;по решению руководства Минсельхоза России на основании п.9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, уведомление не размещалось
84122;-
84122;-
84157;нет
84157;нет
84160;-
84160;-
84169;Отсутствует
84169;Отсутствует
84172;Отсутствует
84172;Отсутствует
84176;-
84176;-
84177;отсутствует
84177;отсутствует
84180;-
84180;-
84181;нет
84181;нет
84185;20.09.2018
84185;17.10.2018
84192;20.09.2018
84192;03.10.2018
84193;21.09.2018
84193;18.10.2018
84201;21.09.2018
84201;10.10.2018
84203;24.09.2018
84203;05.10.2018
84205;21 сентября 2018 г.
84205;11 октября 2018 г. 
84207;-
84207;-
84227;21.09.2018
84227;11.10.2018
84247;24.09.2018
84247;12.10.2018
84254;нет
84254;нет
84260;отсутствует
84260;отсутствует
84262;-
84262;-
84267;-
84267;-
84271;-
84271;-
84274;Отсутствует
84274;Отсутствует
84275;Не размещалось.
84275;Не размещалось.
84276;-
84276;-
84290;на основании пункта 9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, было принято решение о размещении законопроекта без уведомления
84290;на основании пункта 9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, было принято решение о размещении законопроекта без уведомления
84291;отсутствует
84291;отсутствует
84295;-
84295;-
84299;нет
84299;нет
84306;-
84306;-
84308;на основании пункта 9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, было принято решение о размещении законопроекта без этапа уведомления
84308;на основании пункта 9 Правил проведения федеральными органами исполнительной власти оценки регулирующего воздействия проектов нормативных правовых актов и проектов решений Евразийской экономической комиссии, утвержденных постановление Правительства Российской Федерации от 17.12.2012 № 1318, было принято решение о размещении законопроекта без этапа уведомления
84311;обсуждение уведомления не проводилось
84311;обсуждение уведомления не проводилось
84320;уведомление не размещалось
84320;уведомление не размещалось
84331;отсутствует
84331;отсутствует
84336;-
84336;-
84339;02.10.2016
84339;15.10.2016
84343;27.09.2018 
84343;17.10.2018
84345;26.09.2018
84345;05.10.2018
84346;уведомление не размещалось
84346;уведомление не размещалось
84350;нет
84350;нет
84354;-
84354;-
84359;09.08.2018
84359;24.08.2018
84363;-
84363;-
84379;нет
84379;нет
84382;-
84382;-
84384;-
84384;-
84386;Отсутствует
84386;Отсутствует
84406;01.10.2018
84406;19.10.2018
84408;Отсутствует
84408;Отсутствует
84410;-
84410;-
84411;-
84411;-
84414;28.09.2018
84414;18.10.2018
84415;Отсутствует
84415;Отсутствует
84417;нет
84417;нет
84423;нет
84423;нет
84424;28.09.2018
84424;19.10.2018
84425;28.09.2018
84425;19.10.2018
84428;28 сентября 2018 г.
84428;"
18 октября 2018 г."
84443;-
84443;-
84452;-
84452;-
84461;1 октября  2018 г.
84461;12 октября 2018 г.
84468;-
84468;-
84472;-
84472;-
84489;02 октября 2018 г.
84489;15 октября 2018 г.
84490;02.10.2018
84490;15.10.2018
84493;02.10.2018
84493;15.10.2018
84496;02.10.2018 
84496;22.10.2018
84506;02.10.2018
84506;15.10.2018
84508;нет
84508;нет
84510;-
84510;-
84518;Обсуждения уведомления не проводилось
84518;Обсуждения уведомления не проводилось
84520;уведомление не размещалось
84520;уведомление не размещалось
84534;-
84534;-
84550;-
84550;-
84553;03.10.2018
84553;24.10.2018
84557;нет
84557;нет
84558;нет
84558;нет
84559;03.10.2018
84559;16.10.2018
84560;03/10/2018
84560;16/10/2018
84566;-
84566;-
84572;02/11/2018
84572;-
84577;уведомление не размещалось
84577;уведомление не размещалось
84593;нет
84593;нет
84599;нет
84599;нет
84610;нет
84610;нет
84617;уведомление не размещалось
84617;уведомление не размещалось
84624;нет
84624;нет
84630;нет
84630;нет
84634;нет данных
84634;нет данных
84636;-
84636;-
84640;-
84640;-
84641;-
84641;-
84647;-
84647;-
84648;-
84648;-
84654;Обсуждения уведомления не проводилось
84654;Обсуждения уведомления не проводилось
84657;-
84657;-
84662;-
84662;-
84666;отсутствует
84666;отсутствует
84673;уведомление не размещалось
84673;уведомление не размещалось
84688;08.10.2018
84688;19.10.2018
84692;-
84692;-
84693;уведомление не размещалось 
84693;уведомление не размещалось 
84698;08/10/2018
84698;26/10/2018
84699;-
84699;-
84700;-
84700;-
84707;08 октября 2018 г.
84707;19 октября 2018 г.
84708;20.09.2018 
84708;04.10.2018
84709; 
84709; 
84720;Уведомление не размещалось.
84720;Уведомление не размещалось.
84729;-
84729;-
84734;отсутствует
84734;отсутствует
84737;10.10.2018
84737;23.10.2018
84743;10.10.2018
84743;23.10.2018
84748;отсутствует
84748;отсутствует
84755;10.10.2018
84755;06.11.2018
84759;-
84759;-
84760;нет
84760;нет
84761;10.10.2018
84761;23.10.2018
84764;10.10.2018
84764;23.10.2018
84769;10.10.2018 
84769;30.10.2018
84787;11.10.2018
84787;11.11.2018
84790;–
84790;–
84793;Отсутствует
84793;Отсутствует
84796;отсутствует
84796;отсутствует
84800;нет
84800;нет
84804;нет
84804;нет
84807;нет
84807;нет
84808;-
84808;-
84815;нет
84815;нет
84824;-
84824;-
84828;---
84828;---
84841;12.10.2018
84841;27.10.2018
84842;12.10.2018
84842;19.12.2018
84843;Отсутствует
84843;Отсутствует
84853;12.10.2018
84853;25.10.2018
84854;12 октября 2018 года
84854;25 октября 2018 года 
84855;.
84855;.
84856;-
84856;-
84880;18.10.2018
84880;08.11.2018
84882;27 ноября 2017 года
84882;15 января 2018 года
84898;15.10.2018
84898;30.10.2018
84908;15.10.2018
84908;30.10.2018
84911;нет
84911;нет
84920;-
84920;-
84924;18.09.2018 
84924;02.10.2018
84927;отсутствует
84927;отсутствует
84928;-
84928;-
84938;отсутствует
84938;отсутствует
84941;Уведомление не размещалось
84941;Уведомление не размещалось
84950;Нет.
84950;Нет.
84952; 
84952; 
84970;Отсуствует
84970;Отсуствует
84974;Обсуждение уведомления не проводилось
84974;Обсуждение уведомления не проводилось
84976;20.10.2018
84976;14.11.2018
84983;нет
84983;нет
84988;-
84988;-
84994;---------
84994;---------
84996;-
84996;-
84997;17.10.2018 
84997;30.10.2018
84998;__
84998;__
85001;-
85001;-
85011;---
85011;---
85034;18.10.2018
85034;31.10.2018
85035;18.10.2018
85035;01.11.2018
85055;нет
85055;нет
85056;-
85056;-
85057;-
85057;-
85058;-
85058;-
85059;-
85059;-
85060;-
85060;-
85061;-
85061;-
85062;-
85062;-
85063;-
85063;-
85064;-
85064;-
85065;-
85065;-
85075;Без уведомления
85075;Без уведомления
85076;-
85076;-
85079;-
85079;-
85080;-
85080;-
85084;19.10.2018
85084;01.11.2018
85086;без уведомления
85086;без уведомления
85096;20.10.2018 
85096;23.11.2018
85108;-
85108;-
85111;Отсутствует
85111;Отсутствует
85113;Отсутствует
85113;Отсутствует
85115;-
85115;-
85126;нет
85126;нет
85134;Информация уточняется
85134;Информация уточняется
85148;-
85148;-
85149;23.10.2018 
85149;06.11.2018
85168;-
85168;-
85179;-
85179;-
85183;Нет
85183;Нет
85186;Отсутствует
85186;Отсутствует
85208;-
85208;-
85210;-
85210;-
85211; 
85211; 
85219;24.10.2018
85219;07.11.2018
85226;-
85226;-
85227;-
85227;-
85234;-
85234;-
85240;14 июня 2018 г.
85240;28 июня 2018 г.
85246;25 октября 2018 г.
85246;08 октября 2018 г.
85253;нет
85253;нет
85254;25 октября 2018 г.
85254;15 ноября 2018 г.
85259;нет
85259;нет
85269;26.10.2018
85269;09.11.2017
85273;-
85273;-
85280;-
85280;-
85307;-
85307;-
85311;-
85311;-
85314;c 1 ноября 2018 г.
85314;29 ноября 2018 г.
85319;-
85319;-
85323;-
85323;-
85328;29.10.2018
85328;26.11.2018
85332;26.10.2018
85332;09.11.2018
85344;Без уведомления
85344;Без уведомления
85356;Без уведомления
85356;Без уведомления
85357;Без уведомления
85357;Без уведомления
85359;Не размещалось.
85359;Не размещалось.
85360;29.10.2018
85360;09.10.2018
85367;Информация уточняется
85367;Информация уточняется
85369;-
85369;-
85379;_
85379;_
85381;26.10.2018
85381;09.11.2018
85392;-
85392;-
85394;-
85394;-
85398;30.10.2018
85398;28.12.2018
85399;30.10.2018
85399;20.11.2018
85400;30/10/2018
85400;20/11/2018
85403;-
85403;-
85405;-
85405;-
85409;-
85409;-
85417;отсутствует
85417;отсутствует
85422;-
85422;-
85423;Нет
85423;Нет
85433;-
85433;-
85434;02.04.2018
85434;15.04.2018
85435;1 ноября 2018 г.
85435;22 ноября 2018 г.
85437;1.11.18 
85437;21.11.18
85454;нет
85454;нет
85459;6 ноября 2018 г.
85459;19 ноября 2018 г.
85463;02.11.2018
85463;16.11.2018
85489;02.11.2018
85489;02.11.2018
85507;уведомление не размещалось
85507;уведомление не размещалось
85510;-
85510;-
85511;Отсутствует
85511;Отсутствует
85513;02.11.2018
85513;03.12.2018
85514;12.02.2019
85514;25.02.2019
85516;Уведомление не размещалось
85516;Уведомление не размещалось
85519;нет
85519;нет
85531;-
85531;-
85554;-
85554;-
85558;-
85558;-
85577;Отсутствует
85577;Отсутствует
85588;нет
85588;нет
85602;5 октября 2018 г.
85602;18 октября 2018 г.
85604;08.11.2018
85604;29.11.2018
85613;нет данных
85613;нет данных
85618;Отсутствует
85618;Отсутствует
85628;уведомление не размещалось
85628;уведомление не размещалось
85660;-
85660;-
85662;-
85662;-
85666;-
85666;-
85685;12.11.2018
85685;23.11.2018
85688;14.11.2017
85688;01.12.2017
85691;5 октября 2018 г.
85691;18 октября 2018 г.
85695;-
85695;-
85700;уведомление не размещалось
85700;уведомление не размещалось
85701;Отсутствует
85701;Отсутствует
85705;27 сентября 2018 г.
85705;11 октября 2018 г.
85709;нет
85709;нет
85725;отсутствует
85725;отсутствует
85750;-
85750;-
85753;-
85753;-
85757;13/11/2018
85757;27/11/2018
85763;уведомление не размещалось
85763;уведомление не размещалось
85764;нет
85764;нет
85771;-
85771;-
85773;уведомление не размещалось
85773;уведомление не размещалось
85777;Обсуждение уведомления не проводилось
85777;04.12.2018
85780;Уведомление не размещалось
85780;Уведомление не размещалось
85791;-
85791;-
85807;Отсутствует
85807;Отсутствует
85813;-
85813;-
85820;16.11.2018
85820;29.11.2018
85825;Информация уточняется
85825;Информация уточняется
85828;-
85828;-
85840;-
85840;-
85842; 
85842; 
85872;-
85872;-
85873;-
85873;-
85928;-
85928;-
85929;уведомление не размещалось
85929;уведомление не размещалось
85955;-
85955;-
85963;Отсутствует
85963;Отсутствует
85979;Обсуждения уведомления не проводилось
85979;Обсуждения уведомления не проводилось
85994;-
85994;-
86007;нет
86007;нет
86013;22.11.2018
86013;12.12.2018
86027;-
86027;-
86045;нет
86045;нет
86047;нет
86047;нет
86053;-
86053;-
86054;-
86054;-
86056;22 ноября 2018 г.
86056;19 декабря 2018 г.
86061;22 ноября 2018 г.
86061;19 декабря 2018 г.
86078;не размещалось
86078;не размещалось
86085;Нет
86085;Нет
86089;-
86089;-
86109;23 ноября 2018 г
86109;20 декабря 2018 г.
86132;уведомление не размещалось
86132;уведомление не размещалось
86146;24.11.2018
86146;13.12.2018
86150;---
86150;---
86169;нет
86169;нет
86189;нет
86189;нет
86195;без уведомления
86195;без уведомления
86221;Отсутствует
86221;Отсутствует
86240;-
86240;-
86249;27.11.2018
86249;10.12.2018
86284;27.11.2018
86284;17.12.2018
86286;-
86286;-
86290;-
86290;-
86292;-
86292;-
86294;-
86294;-
86299;Отсутствует
86299;Отсутствует
86300;-
86300;-
86311;Информация отсутствует.
86311;Информация отсутствует.
86314; 
86314; 
86331;-
86331;-
86335;Отсутствует
86335;Отсутствует
86352;-
86352;-
86354;-
86354;-
86357;-
86357;-
86398;уведомление не размещалось
86398;уведомление не размещалось
86415;Уведомление не размещалось
86415;Уведомление не размещалось
86420;уведомление не размещалось
86420;уведомление не размещалось
86422;-
86422;-
86434;Обсуждения уведомления не проводилось
86434;Обсуждения уведомления не проводилось
86462;нет
86462;нет
86464;05.12.2018
86464;24.12.2018
86465;-
86465;-
86472;-
86472;-
86474;-
86474;-
86479;отсутствует
86479;отсутствует
86480;уведомление не размещалось
86480;уведомление не размещалось 
86484;---
86484;---
86495;04.12.2018
86495;18.12.2018
86506;04/12/2018
86506;24/12/2018
86510;-
86510;-
86521;-
86521;-
86537;-
86537;-
86547;Не указан
86547;Не указан
86586;отсутствует
86586;отсутствует
86589; 
86589; 
86613;-
86613;-
86621;26.02.2019
86621;12.03.2019
86655;07.12.2018
86655;20.12.2018
86672;10/12/2018
86672;28/12/2018
86695;-
86695;-
86714;-
86714;-
86722;-
86722;-
86725;-
86725;-
86731; 
86731; 
86751;нет
86751;нет
86758;-
86758;-
86779;---
86779;---
86780;Информация уточняется
86780;Информация уточняется
86793;Информация уточняется
86793;Информация уточняется
86806;-
86806;-
86813;нет
86813;нет
86818;Отсутствуют
86818;Отсутствуют
86838; 
86838; 
86839;-
86839;-
86854;-
86854;-
86857;Не размещалось.
86857;Не размещалось.
86875;0
86875;0
86885;-
86885;-
86889;14.12.2018
86889;27.12.2018
86893;-
86893;-
86915;«14» декабля 2018 г.
86915;«09» января 2019 г.
86942;-
86942;-
86944;-
86944;-
86952;Нет
86952;Нет
86953;-
86953;-
86963;17 декабря 2018 г.
86963;14 января 2019 г.
86964;0
86964;0
86966;-
86966;-
86975;18 декабря 2018 г.
86975;28 декабря 2018 г.
86982;-
86982;-
86996;-
86996;-
87001;-
87001;-
87004;-
87004;-
87006;-
87006;-
87030;-
87030;-
87031;-
87031;-
87039;Нет
87039;Нет
87040;19.12.2018
87040;16.01.2019
87050;19.12.2018
87050;09.01.2019
87057;19.18.2018
87057;09.01.2018
87058;-
87058;-
87059;-
87059;-
87064;Отсутствует
87064;Отсутствует
87069;нет
87069;нет
87074;-
87074;-
87075;-
87075;-
87080;20.12.2018
87080;17.01.2019
87085;уведомление не размещалось 
87085;уведомление не размещалось 
87088;уведомление не размещалось
87088;уведомление не размещалось
87093;уведомление не размещалось
87093;уведомление не размещалось
87095;20 декабря 2018 г.
87095;10 января 2019 г. 
87097;20 декабря 2018 г.
87097;10 января 2019 г.
87104;21.12.2018
87104;11.01.2019
87127;-
87127;-
87130;06.02.2019
87130;27.02.2019
87145;2 августа 2019 г. 
87145;22 августа 2019 г. 
87149;2 августар 2019 г.
87149;22 августа 2019 г.
87171;уведомление не размещалось
87171;уведомление не размещалось
87173;уведомление не размещалось
87173;уведомление не размещалось
87186;-
87186;-
87193;02.04.2019
87193;15.04.2019
87205;_
87205;_
87215;-
87215;-
87216;-
87216;-
87239;-
87239;-
87243;-
87243;-
87256;25.12.2018
87256;15.01.2019
87271;-
87271;-
87273;-
87273;-
87274;нет
87274;нет
87280;нет
87280;нет
87289;уведомление не размещалось
87289;уведомление не размещалось
87305;-
87305;-
87312;-
87312;-
87317;-
87317;-
87319;20.09.2018 
87319;04.10.2018
87325;-
87325;-
87328;уведомление не размещалось
