regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
39372;7 сентября 2015 г.
39381;26 августа 2015
39381;15 сентября 2015
39439;27.08.2015
39439;09.09.2015
39442;27.08.2015
39442;10.09.2015
39447;27.08.2015
39447;30.10.2015
39456;27.08.2015 
39456;09.09.2015
39464;24.09.2015
39464;09.09.2015
39470;Данные будкут внесены в ходе обсуждения проекта акта
39470; 
39475;27 августа 2015 г.
39475; 
39480;27 августа  2015 г. 
39480;10 сентября  2015 г.
39485;31 августа 2015 года
39485;22 сентября 2015 года
39492;28.08.2015
39492; 
39496;1 сентября 2015 г.
39496;14 сентября 2015 г.
39498;28.08.2015
39498;10.09.2015
39505;28.08.2015.
39505;10.09.2015 
39531;31 августа 2015 года
39531;12 сентября 2015 года
39533;31 августа 2015 г.
39533;18 сентября 2015 г.
39534;«31» августа 2015г.
39534;«11» сентября 2015 г.
39536;02.09.2015
39536;22.09.2015
39557;5 сентября 2015 г.
39557; 
39561;31 августа 2015 года
39561;21 сентября 2015 г.
39575;1.09.2015
39575;14.09.2015
39576;1 сенября 2015 г.
39576; 
39577;1 сентября 2015
39577; 
39580;24.09.2015
39580; 
39581; 01.09.2015
39581; 
39584;01.09.2015
39584; 
39585;01.09.2015
39585; 
39587;01.09.2015
39587; 
39597; 01.09.2015
39597;14.09.2015 
39621;02 сентября 2015 года 
39621;15 сентября 2015 года 
39625;02.09.2015
39625;15.09.2015
39632;02.09.2015
39632;16.09.2015
39642;21 сентября 2015 г.
39642;30 сентября 2015 г.
39670;3 сентября 2015 года
39670;16 сентября 2015 года
39680; 
39680; 
39719;04.09.2015
39719;17.09.2015
39724;4 сентября 2015 г.
39724;17 сентября 2015 г.
39726;04.09.2015
39726;17.09.2015
39729;4 сентября 2015 г.
39729;1 октября 2015 г.
39732;04.09.2015   
39732;06.10.2015
39734;4 сентября 2015 
39734;21 сентября 2015
39736;23 сентября 2015 г.
39736;7 октября 2015 г.
39738;07.09.2015 
39738;18.09.2015 
39744;4 сентября 2015 г.
39744;24 сентября 2015 г.
39753;07.09.2015
39753;25.09.2015
39757;7 сентября 2015 г. 
39757;18 сентября 2015 г. 
39760;7 сентября 2015 г.
39760;18 сентября 2015 г.
39766;«7» сентября 2015 г
39766;«18» сентября 2015 г
39778;8 сентября 2015 года
39778; 
39780;07.09.2015
39780;06.11.2015
39785;07.09.2015
39785;06.11.2015
39786;07.09.2015
39786;26.09.2015
39787;07.09.2015
39787;06.11.2015
39789;Пункт будет раскрыт в ходе общественного обсуждения проекта акта
39789; 
39790;07.09.2015
39790; 
39792;07.09.2015
39792;26.09.2015
39793;07.09.2015
39793;18.09.2015
39797;07.09.2015
39797;26.09.2015
39798;07.09.2015
39798;18.09.2015
39799;07.09.2015
39799;18.09.2015
39800;07.09.2015
39800;19.09.2015
39801;инормация уточняется
39801; 
39802;-
39802;-
39803;07.09.2015 
39803;18.09.2015
39817;08.09.2015
39817;21.09.2015
39836;08.09.2015 
39836;21.09.2015
39837;08.09.2015 
39837;21.09.2015
39845;09.09.2015
39845;22.09.2015
39851;09.09.2015
39851;01.10.2015
39864;11 августа  2016 года
39864;25 августа  2016 года
39873;Данная информация будет размещена в ходе общественного обсуждения проекта акта
39873; 
39889;10.09.2015 г.
39889;30.09.2015 г.
39911;10.09.2015
39911;23.09.2015
39915;Будет заполнено в процессе общественного обсуждения
39915; 
39916;Будет заполнено в ходе прохождения общественного обсуждения проекта акта
39916; 
39919;11 сентября 2015 года
39919;24 сентября 2015 года
39920;11 сентября 2015 года
39920; 
39921;11 сентября 2015 года
39921;24 сентября 2015 года	
39930;11 сентября 2015 года
39930;24 сентября 2015 года
39932;11 сентября 2015 г.
39932; 
39946;11 сентября 2015 г.
39946;24 сентября 2015 г.
39987;15.09.2015
39987;28.09.2015
39998;15.09.2015
39998;28.09.2015
40012;14.09.15
40012;25.09.15
40017; 
40017; 
40031;15.09.2015
40031;28.09.2015
40033;15.09.2015
40033;30.09.2015
40036;15 сентября 2015
40036;29 сентября 2015
40058;15 сентября 2015 г.
40058;26 октября 2015 г.
40098;16 сентября 2015 г.
40098;29 октября 2015 г.
40100;16.09.2015
40100;29.09.2015
40107;16 сентября 2015 г.
40107;30 сентября 2015 г.
40118;27 октября 2015 г.
40118; 
40124;9 сентября 2015 
40124;30 сентября 2015
40134;16 сентября 2015 г.
40134;29 сентября 2015 г.
40136;16.09.2015 
40136;29.09.2015
40153;17.09.2015
40153;30.09.2015
40158;01.10.2015
40158; 
40160;20.09.2015
40160;30.09.2015
40165;Указанный раздел будет оформлен в ходе обсуждения проекта акта
40165; 
40171;21.09.2015
40171;02.10.2015
40187;18/09/2015
40187; 
40190;18.09.2015
40190;01.10.2015
40204;25.09.2015
40204;15.10.2015
40218;18 сентября 2015 г.
40218;8 октября 2015 г.
40251;21.09.2015
40251;05.10.2015
40257;21.09.2015
40257;03.10.2015
40265;рраосшц
40265; 
40274;21 сентября 2015 г.
